Match Email Sent,Matchmaker,Order,Mentee,Year,Area of Interest,Participating in 2022-23?,Matched?,Match,Mentor Email,Mentee Email,Mentee interests/identity,Mentor interests/identity,Notes,Last Emailed?,,Key:,Available
,,1,Mentee A,1-Freshman,"Behavioral neuroscience / biological psychology, Cognition and perception, Developmental psychology, Forensic psychology, Health psychology, Industrial/organizational psychology",TRUE,FALSE,Available, ,mentee_a@uw.edu,,,,,,,Matched
,,2,Mentee B,1-Freshman,"Behavioral neuroscience / biological psychology, Clinical psychology, Cognition and perception, Health psychology, Social and personality psychology",TRUE,FALSE,Available, ,mentee_b@uw.edu,,,,,,,
,,3,Mentee C,3-Junior,"Behavioral neuroscience / biological psychology, Cognition and perception, Cultural psychology, Health psychology, Social and personality psychology",TRUE,FALSE,Available, ,mentee_c@uw.edu,,,,,,,
,,4,Mentee D,1-Freshman,Clinical psychology,TRUE,FALSE,Available, ,mentee_d@uw.edu,,,,,,,
,,5,Mentee E,1-Freshman,"Clinical psychology, Cognition and perception, Counseling psychology, Developmental psychology",TRUE,FALSE,Available, ,mentee_e@uw.edu,,,,,,,
,,6,Mentee F,1-Freshman,"Animal behavior, Behavioral neuroscience / biological psychology, Clinical psychology, Counseling psychology, Cultural psychology, Developmental psychology, Educational psychology / school psychology, Health psychology, Quantitative psychology and experimental methods, Social and personality psychology",TRUE,FALSE,Available, ,mentee_f@uw.edu,,,,,,,
,,7,Mentee G,4-Senior,"Behavioral neuroscience / biological psychology, Cognition and perception, Health psychology",TRUE,FALSE,Available, ,mentee_g@uw.edu,,,,,,,
,,8,Mentee H,2-Sophomore,"Cognition and perception, Counseling psychology, Developmental psychology, Educational psychology / school psychology",TRUE,FALSE,Available, ,mentee_h@uw.edu,,,,,,,
,,9,Mentee I,3-Junior,"Counseling psychology, Cultural psychology, Developmental psychology, Industrial/organizational psychology, Social and personality psychology",TRUE,FALSE,Available, ,mentee_i@uw.edu,,,,,,,
,,10,Mentee J,2-Sophomore,"Animal behavior, Behavioral neuroscience / biological psychology, Cognition and perception, Cultural psychology, Developmental psychology, Educational psychology / school psychology, Social and personality psychology",TRUE,FALSE,Available, ,mentee_j@uw.edu,,,,,,,
,,11,Mentee K,3-Junior,"Behavioral neuroscience / biological psychology, Clinical psychology, Counseling psychology, Cultural psychology, Social and personality psychology",TRUE,FALSE,Available, ,mentee_k@uw.edu,,,,,,,
,,12,Mentee L,3-Junior,"Behavioral neuroscience / biological psychology, Cognition and perception, cognitive neuroscience, computational neuroscience, cognitive science",TRUE,FALSE,Available, ,mentee_l@uw.edu,,,,,,,
,,13,Mentee M,3-Junior,"Clinical psychology, Counseling psychology, Developmental psychology, Social and personality psychology",TRUE,FALSE,Available, ,mentee_m@uw.edu,,,,,,,
,,14,Mentee N,3-Junior,,TRUE,FALSE,Available, ,mentee_n@uw.edu,,,,,,,
,,15,Mentee O,1-Freshman,"Behavioral neuroscience / biological psychology, Clinical psychology, Counseling psychology, Developmental psychology, Educational psychology / school psychology, Forensic psychology, Health psychology, Social and personality psychology",TRUE,FALSE,Available, ,mentee_o@uw.edu,,,,,,,
,,16,Mentee P,2-Sophomore,"Counseling psychology, Cultural psychology, Social and personality psychology",TRUE,FALSE,Available, ,mentee_p@uw.edu,,,,,,,
,,17,Mentee Q,4-Senior,Counseling psychology,TRUE,FALSE,Available, ,mentee_q@uw.edu,,,,,,,
,,18,Mentee R,3-Junior,"Cognition and perception, Counseling psychology, Developmental psychology, Industrial/organizational psychology, Social and personality psychology",TRUE,FALSE,Available, ,mentee_r@uw.edu,,,,,,,
,,19,Mentee S,4-Senior,"Clinical psychology, Counseling psychology, Developmental psychology, Social and personality psychology",TRUE,FALSE,Available, ,mentee_s@uw.edu,,,,,,,
,,20,Mentee T,3-Junior,"Behavioral neuroscience / biological psychology, Clinical psychology, Counseling psychology",TRUE,FALSE,Available, ,mentee_t@uw.edu,,,,,,,
,,21,Mentee U,1-First-Year,"Clinical psychology, Counseling psychology, Child/family cousneling",TRUE,FALSE,Available, ,mentee_u@uw.edu,,,,,,,
,,22,Mentee V,3-Junior,"Cultural psychology, Developmental psychology, Forensic psychology, Health psychology, Industrial/organizational psychology, Social and personality psychology, Sports psychology",TRUE,FALSE,Available, ,mentee_v@uw.edu,,,,,,,
,,23,Mentee W,3-Junior,"Industrial/organizational psychology, Social and personality psychology, Business Psychology",TRUE,FALSE,Available, ,mentee_w@uw.edu,,,,,,,
,,24,Mentee X,4-Senior,"Counseling psychology, Developmental psychology, Educational psychology / school psychology, Sports psychology",TRUE,FALSE,Available, ,mentee_x@uw.edu,,,,,,,
,,25,Mentee Y,2-Sophomore,"Clinical psychology, Counseling psychology, Forensic psychology, Social and personality psychology",TRUE,FALSE,Available, ,mentee_y@uw.edu,,,,,,,
,,26,Mentee Z,4-Senior,"Forensic psychology, criminal psychology",TRUE,FALSE,Available, ,mentee_z@uw.edu,,,,,,,
,,27,Mentee AA,3-Junior,"Counseling psychology, Developmental psychology, Educational psychology / school psychology, Social and personality psychology",TRUE,FALSE,Available, ,mentee_aa@uw.edu,,,,,,,
,,28,Mentee AB,3-Junior,"Clinical psychology, Cognition and perception, Counseling psychology, Cultural psychology, Developmental psychology, Health psychology, Social and personality psychology",TRUE,FALSE,Available, ,mentee_ab@uw.edu,,,,,,,
,,29,Mentee AC,1-First-Year,"Counseling psychology, Cultural psychology, Developmental psychology, Educational psychology / school psychology, Forensic psychology, Social and personality psychology, Sports psychology",TRUE,FALSE,Available, ,mentee_ac@uw.edu,,,,,,,
