Name,First Name,Last Name,UW email address,Personal email address,How many students are you willing to mentor?,With which gender do you identify?,What is your current professional role?,"In college, were you a transfer student? (Did you attend community college or another university before transferring to the university where you received your degree?)",Were you the first person in your family to go to college?,Are you a first-generation American? (Your parents were born outside the U.S. and you were born in the U.S.),Were you an international student? (Someone who studied in the U.S. while retaining citizenship and/or permanent residence in another country),Select all of the following groups with which you identify.,Do you identify as belonging to the LGBTQ+ community?,What general area(s) of psychology are you most interested in?,"If you are employed outside academia, what is your area of work?","Do you have any other areas of knowledge you could advise about or that you would enjoy having in common with your mentee? (For example: a non-psychology major you pursued in college, a career you were involved with before coming to psychology, another language you speak, a specific hobby or interest, etc.)",What is your primary reason for wanting to be a mentor?,Which factor is MOST important for you in matching with a prospective mentee?,Please elaborate on your response to the above question. Which interest or identity is most important for you to match on?,"Do you have any other preferences for your ideal mentee(s), or is there anything else we should know?",Are you willing and able to commit to mentoring one or more students and to meet with them biweekly for the duration of the academic year?,Codes,Match Priority - Identity,Match Priority - Priority
Mentor A,Mentor,A,mentor_a@uw.edu,mentor_a@gmail.com,1,Female,Faculty,,FGCS,FG,,W,,child clinical,,,Supporting diverse students be successful in college and beyond,,,"no preference really, maybe just a match in being interested in child developmental or clinical psychology.",Yes,"W, ",,
Mentor B,Mentor,B,mentor_b@uw.edu,mentor_b@gmail.com,4,Female,Senior undergraduate student,,,,,"W, EA",,,,,"During my time at UW, I was very indecisive about what I wanted to pursue as a career, and because of that, I feel that I have a solid understanding of how it feels to be uncertain and not have a path yet. I would like to help an undergraduate be okay with this uncertainty, and guide them in finding the classes that are best for them. I love being a resource for others and hope that I would be a good mentor for one or a few undergrads at UW.",,,I am interested in working in a health related profession (right now I am considering pursuing Physical Therapy or Clinical Psych- I also considered pursuing nursing or becoming a PA for a little bit) so I have a lot to say about navigating the health professions as a psych major. I would love to work with a mentee who is interested in the same work as I am!,Yes,"(2S)TRFR,F.G.",,
Mentor C,Mentor,C,mentor_c@uw.edu,mentor_c@gmail.com,2,Female,Senior undergraduate student,,,,IX,EA,,Cognitive psych and developmental psych,,,"Throughout my four year at UW, I have developed several skills and career preparation that I would like to share. As a psychology major, there is a stigma about the future career selection that there is a limited path to pursue upon graduation, whether it is going to graduate school or be a therapist/counselor/psychiatrist. However, I switched my career to tech and took informatics and CSE classes after junior year. There were doubts behind my head but I still found a way to pursue a career path of UX research and design with a psychology degree. I'd like to share how I self-learned different design skills and got involved in workshop/hackathons/research and other resources that boost my tech lens.",,,"I'd say anyone interested in pursuing career in tech with a psychology degree would be a good match, or anyone intended to take programming classes while having a psychology degree. I could also help mentees who are interested in gaining leadership experience at UW.",Yes,(2S)Rsrchi,,
Mentor D,Mentor,D,mentor_d@uw.edu,mentor_d@gmail.com,3,Female,Senior undergraduate student,TRFR,FGCS,,,W,Q,N/a,,,"I could help students who are struggling with being a first generation student, or transfer student. I can also help students who are looking to get a masters in clinical counseling.",,,I am a friendly person and would love to help anyone!,Yes,,,
Mentor E,Mentor,E,mentor_e@uw.edu,mentor_e@gmail.com,1,Female,Faculty,,FGCS,,,W,,Cognitive Neuroscience,,,To help level the playing field for the kids who haven't had the same kinds of opportunities as their peers.,,,not really,Yes,"(2S)Clin,Qi",,
Mentor F,Mentor,F,mentor_f@uw.edu,mentor_f@gmail.com,3,Male,Senior undergraduate student,TRFR,,,IX,W,,,,,"When I first entered the UW, I had trouble finding information on how to apply for medical school and what courses and extracurriculars I should be doing. Eventually, I found a fellow graduate student who was able to clarify for me what I should be doing during my time as an undergraduate. I want to be that person for someone else.",,,,Yes,,,
Mentor G,Mentor,G,mentor_g@uw.edu,mentor_g@gmail.com,1,Female,Junior Undergraduate,TRFR,FGCS,,,W,,,,,I want to help others with my experiences.,,,No,Yes,(2S)N/A,,
Mentor H,Mentor,H,mentor_h@uw.edu,mentor_h@gmail.com,2,Female,Senior undergraduate student,TRFR,,,,W,Q,,,,"I enjoy helping people in this way. I currently am TA-ing for a class and I have really enjoyed making connections with individual students and talking with them about their path in college. It feels a bit like how I imagine mentoring would feel, and I have really enjoyed it. I think I could be a good mentor and that some students could really benefit. I also think mentoring would be a good experience fo me.",,,"My favorite area of psychology involves sexual health, so I feel like I would be most helpful for those students. I also really enjoyed my animal behavior course so if students have an interest in that I would be more helpful than with a student interested in psychiatry. Though I don't mind mentoring someone interested in a different aspect of psychology. I came from a 4 year university and then was a NM student at UW for about a year. I only took 2 quarters of online classes at a CC so I don't know how equipped I am to guide CC transfers as I didn't have as much culture shock as my fellow transfers, but I would be happy to mentor a transfer student despite this. I'd also be happy to mentor another LGBTQ+ student, especially if the student states they'd be more comfortable with an LGBTQ+ mentor.",Yes,(2S)N/A,,
Mentor I,Mentor,I,mentor_i@uw.edu,mentor_i@gmail.com,3,Female,Junior Undergraduate (rising senior),,,,,EA,,,,,I want to be able to provide the help and support to another student that I was not able to have as I was navigating my journey within the psych department and applying for the major. Having someone to who you can look to for answers and as a resource is something I would like to provide and being able to create and foster interpersonal relationships with others is something I like to focus on.,,,"I would love to work with someone who is not in the major yet, either a first or second year student because I would love to be able to support them as they are trying to balance pre-reqs in addition to just their psych requirements.",Yes,,,
Mentor J,Mentor,J,mentor_j@uw.edu,mentor_j@gmail.com,3,Female,Junior undergraduate student,,,,,EA,,,,,I love mentorship and think it's one of the most valuable relationships. I enjoy helping others and using my experience to help positively shape the experiences of others so they can learn from me. Having a mentor when I was an underclassman would have definitely been beneficial for me so I'm hoping to be that resource for someone else.,,,"If any of the mentees are pre-med I would love to mentor them as I have experienced college as a pre-med Psych major. Since I am a junior, getting paired with a freshman or sophomore would be great too. I would also not mind working with transfer students!",Yes,(3S)A.A.,,
