First name,Last name,UW email address,Personal (non-UW) email address,Age,Gender identity,Do you identify as transgender?,What is your current class standing?,What language(s) do you speak in addition to English? (optional),Your mentor's first name,Your mentor's last name,Have you met with your mentor yet?,Are you interested in continuing to be mentored by this person next academic year?,Are you interested in continuing as a mentee in this program with a different mentor next academic year?,Please elaborate on your responses to the above questions. (optional),How frequently have you been meeting with your mentor?,What happens during a typical mentoring meeting?,To what extent are you gaining valuable knowledge during your mentoring meetings?,"People can seek mentorship relationships for a variety of reasons. Some have a desire to connect with others with a shared identity; others are interested in connecting with others with shared interests; others are looking for friendship, camaraderie, and community with people who have a similar personality. Which of these reasons (or another reason) best describes your reason for participating in this program?","Would you characterize your mentoring relationship as more one-directional, in which the mentee is the primary beneficiary, or more bi-directional, in which both the mentee and mentor are getting something out of the relationship?",To what extent is your mentoring relationship personally and/or professionally fulfilling for you?,"Would you characterize your mentoring relationship as relatively more formal or informal? (E.g. more formal relationships might adhere to an agenda and follow a structure, with the mentor focused on addressing specific questions, whereas a more informal relationship might have free-form meetings in which the mentor is focused on relating to the mentee and supporting their needs.)",What have you learned from your mentor?,"What specific types of information, resources, or opportunities (if any) has your mentor shared with you?",Have your thoughts about your future in psychology changed based on your mentoring relationship? How?,What mental or emotional support (if any) has your mentor provided for you?,How comfortable do you feel with your mentor?,What (if anything) has your mentor done to put you at ease or to make you comfortable?,How open and/or honest do you feel you can be with your mentor?,How much do you feel like you have in common with your mentor?,To what extent do you and your mentor share similar research and/or career interests?,How has your mentoring relationship helped you this quarter?,In what ways (if any) has your mentoring relationship helped you academically this quarter?,In what ways (if any) has your mentoring relationship helped you feel more confident about your current coursework? About your plan of study?,In what ways (if any) has your mentoring relationship reduced anxiety about your academic life?,In what ways (if any) has your mentoring relationship helped you develop personal or professional skills?,What are you enjoying most about the mentoring program?,What aspects of the mentoring program could we improve?,Have you experienced any of the following difficulties while participating in the program?,How likely are you to continue participating in the mentoring program next year?,"Have you attended any of the Psychology Undergraduate Mentoring Program events this academic year? If so, which one(s), and what feedback can you share?",In what kinds of program-wide events would you be most interested in participating?,"What are your career goals? What would you like to learn more about or get help with? (Examples: getting involved in research, learning about careers in psychology, course planning, time management, stress reduction, making connections.)","Do you use the program Slack channel? What would make this community space more helpful for you, or would another alternative (e.g., Discord) work better?",Have you applied to any of the job/internship opportunities posted in the #opportunities channel on Slack? ,Do you have any other suggestions for ways to build community within our program?,Are you interested in being a mentor for a first- or second-year student in the coming academic year (2022-23)? ,What other thoughts would you like to share about the mentoring program? (optional),"We all have many social identities: race and ethnicity, gender, sexuality, age and life stage, (dis)ability, socioeconomic status, first-generation student, etc. Name the identities that are most important to you, that feel most like a core part of who you are.",What identity or identities do you and your mentor share?,To what extent do you feel represented in the UW Department of Psychology by people who share one or more of your main social identities?,To what extent do you feel represented in the field of psychology by people who share one or more of your main social identities?,Please rate your agreement with the following statement: I feel like I belong in the UW Department of Psychology.,How has your mentoring relationship impacted your feelings of belonging in the UW Department of Psychology?,How has your mentoring relationship impacted your feelings of belonging in the broader field of psychology?,Please elaborate on your response to the questions above. (optional),"Would you be interested in participating in further research related to this program, e.g., interview or focus group?"
Mentee,One,mentee@uw.edu,mentee@gmail.com,18,Female,No,Freshman,Mandarin,redacted,redacted,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mentee,Two,mentee@uw.edu,mentee@gmail.com,22,Female,No,Senior,Spanish,redacted,redacted,Yes,Yes,No,I do not wish to be a mentee but I wish to continue with (redacted) as my mentor,Once every two weeks,We talk about my school problems and how to fix them to get to my goal,5,To get help to get to where I want to ,3,4,2,That it’s okay to go off plan because I will eventually get there ,Resources to know how to get into med school,Yes because now I understand how hard it is ,She makes sure I’m okay with my mental health problems ,5,Been super friendly and outgoing ,5,4,4,"feeling more confident about my plan of study / the field I am going into, being more knowledgeable about resources and opportunities, improved professional skills (e.g., organization, time management, communication), reduced anxiety and/or stress",They have helped me with homework before ,They have  helped me learn how to get to the places I want to be ,They have taught me that as long as I try I will get there ,They taught me how to talk in an interview,Talking together and relating ,None,I have not experienced any difficulties,5,No,I am not sure,"Stress reduction, learning about careers in psychology ",No,No,No,No,,Mexican ,Both women ,2,2,4,4 - I feel slightly more belonging because of my mentoring relationship,4 - I feel slightly more belonging because of my mentoring relationship,,Yes
Mentee,Three,mentee@uw.edu,mentee@gmail.com,22,Female,No,Senior,"Chinese, Korean",redacted,redacted,Yes,No,No,"I've worked with the same mentor for 2 years and I'll be graduating next year, so I think it's time for me to start the new chapter and leave the mentorship program",Once every two weeks,"We'll talk about questions about academic progress, internship, lab etc",5,Connect with others with shared interests ,3,5,3,I have learned to be a more competent pre-professionals and a more resilient and compassionate person in daily life ,"My mentored had share a lot of information about psychology internship, lab, and social opportunities ","Prior the mentorship program, I aim to be a mental health counselor. The interaction with my mentor make me further consolidate this goal. ",My mentor was very understanding and supportive when I encountered a negative/frustrating internship experience. ,5,My mentor had shared her thought on how to handle the negative affect when encounter difficulty and recognize me as a capable and good person in working,5,4,4,"feeling more confident about my coursework, feeling more confident about my plan of study / the field I am going into, increased self-confidence, being more knowledgeable about resources and opportunities, improved professional skills (e.g., organization, time management, communication)",This quarter I focused on my independent research project so I did not meet my mentor that often but she is always supportive and offer me additional resources when I asked ,"Whenever I have plan about my future research/study, I will share with my mentor and she will help me to review it and offer suggestions on improvement","Talking with my mentor always brings me ease, I felt that my confusion clears out after talk with her. ",Every meeting with the mentor is a precious experience of knowledge accumulation. Each step of preparing and working makes me more organized and prepared for future planning.,That I have a mentor who is always supportive and understanding.,"When the mentorship program first start, it was a little bit difficult to ask questions since I'm not a person that initiate topic/ and sometimes I cannot think of some possible question to ask. I think it would be helpful if there is a guide for possible question. Also, I personally think that I gain more from the program, I think it would also be great if we can have more in-person one on one meeting/hangout activities with mentor.",I wasn't sure what I could ask my mentor,1,Unfortunately I have a schedule conflict so I cannot make to the events yet ,I think the PUMP events are really great! ,"I would like to know more about the practice of a profession (i.e. what does the counseling practice look like in real setting, what technique is being used etc...",My mentor invited me to join the Slack channel and it great to meet people who shared similar interests and opportunities ,No,No,Yes,I want to say thank you to all the staff and my mentor in making this mentorship program happens! I'm glad that I become part of it. This is one of the most precious memory I have in my undergraduate study at UW! ,"life stage: student, person seeking for active participation in the communit",Psychology Professional,4,3,5,5 - I feel much more belonging because of my mentoring relationship,5 - I feel much more belonging because of my mentoring relationship,,Yes
Mentee,Four,mentee@uw.edu,mentee@gmail.com,22,Female,No,Senior,,redacted,redacted,Yes,No,Maybe/Not sure yet,,Once every two weeks,"We usually talked about future plans and classes, as well as her master's program. However we only talked during summer quarter.",4,"Community with people who have a similar personality, friendship, connecting with someone who has shared interests and reasons for going into the field. ",1,2,3,I learned about different fields I could possibly go in and her own opportunities. ,msw master's program,"Somewhat. Since we only talked for a short period of time every two weeks, my future in psychology feels the same but just added perspective.","She made me feel more grounded in my uncertain decisions when deciding for classes by telling me about her experience in those classes. I was afraid of being overworked and not finding volunteering opportunity for 497, but she reassured me it would be fine. And hearing about her struggles and experiences made me feel better. ",2,No. ,4,2,3,"feeling more confident about my coursework, feeling more confident about my plan of study / the field I am going into",n/a,It helped me know what I would experience in classes. Although we had different professors she still had syllabi from when she was in school. ,n/a,n/a,I did enjoy having a mentor to discuss my studies with. It was nice chatting with someone with similar interests and perspectives on people., I think since she had to move it made communication much more difficult and we suddenly fell out of touch. I wasn't sure if I was supposed to get a new mentor or report it to someone but overall I think this program is a great opportunity for future psychology students. ,"lack of communication from my mentor, my mentor stopped participating in the program",2,No. ,n/a,"Getting involved with research, social work, making connections",Yes. I check the opportunities page usually. ,No,n/a,No,,first gen Asian American,"gender, sexuality ",2,3,3,3 - I feel no difference in belonging because of my mentoring relationship,4 - I feel slightly more belonging because of my mentoring relationship,,Yes
Mentee,Five,mentee@uw.edu,mentee@gmail.com,20,Female,No,Sophomore,,redacted,redacted,No,Maybe/Not sure,Maybe/Not sure yet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mentee,Six,mentee@uw.edu,mentee@gmail.com,23,Female,No,Senior,,redacted,redacted,Yes,Yes,No,,Once every two weeks,Check-in and learning how things are going ,3,Connecting with others and learning from others ,4,4,4,How to set goals and working toward it more effective ,How to set goals and how to utilize your time,They don't change that much ,Listening to my concerns and sharing how to manage them ,4,Making things more friendly ,4,3,4,"feeling more confident about my coursework, feeling more confident about my plan of study / the field I am going into, being more knowledgeable about resources and opportunities",Help me little bit more relaxed ,How to set goals and work toward them ,Help me to feel confident about my  background of knowledge ,Help me how to connect with others better ,Connecting and learning from others ,More fun events and activities so we can learn more about each other ,"difficulty keeping meetings with my mentor, I have not experienced any difficulties, The difficulty is pretty minior, we have other ways to communicate ",4,"Yes, I have. The 2nd event",Grad school prep and research opportunities ,"Getting involved in research, making connections, time management and planning ","Yes, I use slack. I think using slack is fine ",No,Not at the moment ,Maybe/Not sure yet,,Asian female ,Being a female in academia ,3,3,4,4 - I feel slightly more belonging because of my mentoring relationship,3 - I feel no difference in belonging because of my mentoring relationship,,Yes
Mentee,Seven,mentee@uw.edu,mentee@gmail.com,22,Female,No,Senior,,redacted,redacted,Yes,Maybe/Not sure,No,Graduating!,Once every two weeks,We talk about anything I’m struggling with and needing advice on,4,Looking for someone with similar interests who has been there and can give good advice,2,4,5,I have learned mostly when to contact others and how to contact others to ask them questions such as an organization.,"She has shared advice, her resume, cover letters, CVs, etc. We have done research together for my papers","Yes, she taught me that everyone moves at their own pace and that psychology is a very rewarding field.",They have told me that I’m doing great and that everything that I have felt is valid.,4,She has given me ways to say things and resources.,4,3,3,"feeling more confident about my coursework, feeling more confident about my plan of study / the field I am going into, being more knowledgeable about resources and opportunities",She has helped me do research and come up with paper ideas.,She has offered to write me a letter of recommendation which is really kind and helpful to my future studies.,Making me feel that I am not alone at all.,I have gotten professional advice from someone who has done it before.,That I have someone to talk to about my problems without them being too involved in it. It’s like a second opinion that isn’t connected or biased in any way.,"More mentors! I know some mentors have multiple mentees and I originally got matched, we didn’t have the same interests so our mentorship isn’t based off of like a direct connection.",I have not experienced any difficulties,3,No,N/A,"Applying to graduate school, I would love to learn about someone else’s process and where I should start, when I should start, etc.",Slack works fine but I’m not on it a lot.,No,More activities done through Zoom so more people can attend.,No,,"First-generation Asian-American Female, straight","Straight female, American",5,4,5,5 - I feel much more belonging because of my mentoring relationship,5 - I feel much more belonging because of my mentoring relationship,,No
Mentee,Eight,mentee@uw.edu,mentee@gmail.com,20,Female,No,Sophomore,,redacted,redacted,Yes,Maybe/Not sure,Maybe/Not sure yet,I switched majors.,Once a month,We discuss my interests and she gives me advice about them. ,5,Connect with other that have a similar interest.,2,3,3,Opportunities surrounding my interests.,Volunteering and shadowing.,No,Some relief about more general concerns ,3,"Being open, honest, and considerate. ",3,3,3,"feeling more confident about my coursework, feeling more confident about my plan of study / the field I am going into, being more knowledgeable about resources and opportunities",Helped me focus on my priorities a bit. ,Helped me focus on my priorities a bit.,Helped me relax about things in the future. ,Worked on my communication. ,Specific advice. ,More suggestions about topics to discuss. ,"lack of communication from my mentor, I wasn't sure what I could ask my mentor",2,No,Career exploration,Making connections ,No,No,No,Yes,,Being mixed race,Gender ,2,2,1,4 - I feel slightly more belonging because of my mentoring relationship,4 - I feel slightly more belonging because of my mentoring relationship,,Yes
Mentee,Nine,mentee@uw.edu,mentee@gmail.com,20,Female,No,Sophomore,,redacted,redacted,Yes,No,No,"I've had a great year with my mentor, who graduates this year. I graduate a little earlier next year as well, so I won't be continuing with the program anymore, although I've definitely benefited from it! ",Once a month,"General catch up, specific questions about psych and future plans, research and grad school",5,To seek community within the psych major,4,5,5,"about research opportunities, potential upper level classes; graduate school","mostly personal experience, but also with respect to research opportunities both the departmental website and recommendations to reach out directly to professors (which is what i ended up doing) ","not really based on the mentoring relationship, but it has given me more perspective and a better idea of possible routes ","lots! we ended up taking the same class at the same time which was nice, and in general we talk a lot about the psych major as well as our plans for our futures in psych. it's been really nice to have someone to bounce ideas off of, and esp bc we're focussing on different specializations, to hear about the wide variety within it. ",5,"we grab lunch usually, and have our conversations over food haha ",4,4,4,"feeling more confident about my coursework, feeling more confident about my plan of study / the field I am going into, being more knowledgeable about resources and opportunities, reduced anxiety and/or stress",have more info on possible upper level coursework,"just talking about the classes i want to take in my area of focus has been nice, especially with someone in a slightly different area of focus, though we both share kind of similar long-term plans for grad school and research ","a lot haha i guess a lot of it just comes from being able to get more of a sense of where i stand in relation to everyone else, and just general support overall ",NA,i do like that the pairs are based off of shared/similar identity characteristics ,"i know the social hours were only recently implemented, but those wouldve been nice throughout the year when possible",I have not experienced any difficulties,1,"yes, i think it was the first meeting early in the year. it was great to hear about the major and get advice about coursework and research",relaxed social hours would be nice ,"research, career options and pathways, coursework for the different specializations ","a little, not much. i'm fine with Discord too, but it doesn't make that much of a difference for me either way",No,NA,No,,"race, gender, sexuality, age","race, gender, age",4,2,4,4 - I feel slightly more belonging because of my mentoring relationship,3 - I feel no difference in belonging because of my mentoring relationship,"because we're still students, to me at least how much i belong here in UW's psych dept is separate from belonging to the field of psych as a whole when i;m not even in the field proper yet ",No
Mentee,Ten,mentee@uw.edu,mentee@gmail.com,19,Female,No,Freshman,,redacted,redacted,Yes,Yes,Yes,"I loved being mentored by (redacted)! I would happily be paired with her again, but in the event she didn't come back to the program, I would love to meet someone new, too!",Once a month,"We usually do a quick catch-up about what's been going on in our lives and how we've been. Then we talk about classes and what I might be planning on taking the next quarter. She lets me ask a lot of questions and it always is different (sometimes I ask about housing, other times I'll ask about long-term career possibilities).",5,"I really wanted to connect with someone who could act as a sort of support system, someone I could ask questions and get really valuable advice. I loved that she was a student here, because she gave me a lot of great advice specific to UW and its classes.",3,5,4,"I've learned about balancing school/work with being social, how to create strategic course plans, what the psychology major application process is like and how to plan for it, and so much more!","We've talked about ORPP and other psychology studies students can participate in, and she's encouraged me to join the Psychology RSO, which I plan to join next fall quarter!",I think I've come away with more clarity on what direction I want to go in. We've talked about it a lot and I realized I am not as interested in the chemistry side of psychology as much as I'm interested in counseling and those fields.,"She's provided me with a lot of support and advice on balance and burn out, which has been really enlightening when trying to get through this school year. Updating each other on how we've been and how we're doing was one of my favorite parts of our meetings.",5,"(redacted) just always greeted me with a smile and constantly made me feel validated with anything I was struggling with. I felt really comfortable with her right off the bat, and I think it helped we have a similar sense of humor too!",5,4,3,"feeling more confident about my coursework, feeling more confident about my plan of study / the field I am going into, increased self-confidence, being more knowledgeable about resources and opportunities, improved professional skills (e.g., organization, time management, communication), reduced anxiety and/or stress, more resources for coping",Making sure that I was taking breaks when I needed and not overloading my schedule definitely helped me be a more productive and healthier learner.,"I'm really excited about my upcoming classes, and have enjoyed all of my classes so far, and I also feel sure that psychology is the place for me with all the knowledge (redacted) has given me.",I think so! She tells me not to put too much pressure on myself and just try to enjoy these years where I'm still figuring it all out because everyone else here is doing the same!,"I've definitely gained confidence this year, and it has given me a lot of courage to pursue opportunities that I might've underestimated myself for before.","It's just really nice to talk to someone who has a really similar experience in the same field. I think it's also a great way to make newer students feel more at home at school, especially is they're out of state students!",I can't think of anything!,I have not experienced any difficulties,5,I have not,Not sure!,I definitely want to explore learning about different subfields of counseling and continue to work on things like stress reduction and time management. I also want to make more connections next year.,"I do not, maybe Discord would work better!",No,I do not,Maybe/Not sure yet,I just really loved it!,Being an Asian-American woman,She's also an Asian-American woman,4,3,5,5 - I feel much more belonging because of my mentoring relationship,5 - I feel much more belonging because of my mentoring relationship,,Yes
